10b2	10base-2
siggraph	special_interest_group_on_graphics
simd	single_instruction,_multiple_data
simm	single_inline_memory_module
sip	session_initiation_protocol
sip	supplementary_ideographic_plane
sisd	single_instruction,_single_data
siso	single-input_and_single-output
sled	suse_linux_enterprise_desktop
sles	suse_linux_enterprise_server
sli	scalable_link_interface
slip	serial_line_internet_protocol
slm	service_level_management
sloc	source_lines_of_code
sme	subject_matter_expert
spm	software_project_management
spmd	single_program,_multiple_data
sma	subminiature_version_a
smb	server_message_block
smbios	system_management_bios
smil	synchronized_multimedia_integration_language
s/mime	secure/multipurpose_internet_mail_extensions
smp	supplementary_multilingual_plane
smp	symmetric_multi-processing
sms	short_message_service
sms	system_management_server
smt	simultaneous_multithreading
smtp	simple_mail_transfer_protocol
sna	systems_network_architecture
snmp	simple_network_management_protocol
sntp	simple_network_time_protocol
soa	service-oriented_architecture
soap	simple_object_access_protocol
soap	symbolic_optimal_assembly_program
sopa	stop_online_piracy_act
soc	system-on-a-chip
so-dimm	small_outline_dimm
soe	standard_operating_environment
soho	small_office/home_office
soi	silicon_on_insulator
sp	service_pack
spa	single_page_application
spf	sender_policy_framework
spi	serial_peripheral_interface
spi	stateful_packet_inspection
sparc	scalable_processor_architecture
sql	structured_query_language
sram	static_random_access_memory
ssa	static_single_assignment
ssd	software_specification_document
ssd	solid-state_drive
sse	streaming_simd_extensions
ssh	secure_shell
ssi	server_side_includes
ssi	single-system_image
ssi	small-scale_integration
ssid	service_set_identifier
ssl	secure_socket_layer
ssp	supplementary_special-purpose_plane
ssse	supplementary_streaming_simd_extensions
su	superuser
sus	single_unix_specification
suse	software_und_system-entwicklung
svc	scalable_video_coding
svg	scalable_vector_graphics
svga	super_video_graphics_array
svd	structured_vlsi_design
swf	shock_wave_flash
swt	standard_widget_toolkit
sysop	system_operator
tao	track-at-once
tasm	turbo_assembler
tb	terabyte
tcl	tool_command_language
tcp	transmission_control_protocol
tcp/ip	transmission_control_protocol/internet_protocol
tcu	telecommunication_control_unit
tdma	time_division_multiple_access
tft	thin_film_transistor
tftp	trivial_file_transfer_protocol
ti	texas_instruments
tla	three-letter_acronym
tld	top-level_domain
tls	thread-local_storage
tls	transport_layer_security
tlv	type-length-value
tmp	temporary
tnc	terminal_node_controller
tnc	threaded_neill-concelman_connector
tpf	transaction_processing_facility
troff	trace_off
tron	trace_on
tron	the_real-time_operating_system_nucleus
trs-dos	tandy_radio_shack_-_disk_operating_system
tso	time_sharing_option
tsp	traveling_salesman_problem
tsr	terminate_and_stay_resident
tta	true_tap_audio
ttf	truetype_font
ttl	transistor-transistor_logic
ttl	time_to_live
tts	text-to-speech
tty	teletype
tucows	the_ultimate_collection_of_winsock_software
tug	tex_users_group
twain	technology_without_an_interesting_name
uaag	user_agent_accessibility_guidelines
uac	user_account_control
uart	universal_asynchronous_receiver/transmitter
uat	user_acceptance_testing
ucs	universal_character_set
uddi	universal_description,_discovery,_and_integration
udma	ultra_dma
udp	user_datagram_protocol
uefi	unified_extensible_firmware_interface
uhf	ultra_high_frequency
ui	user_interface
ul	upload
ula	uncommitted_logic_array
uma	upper_memory_area
umb	upper_memory_block
uml	unified_modeling_language
umpc	ultra-mobile_personal_computer
unc	universal_naming_convention
ups	uninterruptible_power_supply
uri	uniform_resource_identifier
url	uniform_resource_locator
urn	uniform_resource_name
usb	universal_serial_bus
usr	u.s._robotics
utc	coordinated_universal_time
utf	unicode_transformation_format
utp	unshielded_twisted_pair
uucp	unix_to_unix_copy
uuid	universally_unique_identifier
uvc	universal_virtual_computer
ux	user_experience
var	variable
vax	virtual_address_extension
vcpi	virtual_control_program_interface
vr	virtual_reality
vrml	virtual_reality_modeling_language
vb	visual_basic
vba	visual_basic_for_applications
vbs	visual_basic_script
vdsl	very_high_bitrate_digital_subscriber_line
vesa	video_electronics_standards_association
vfat	virtual_fat
vfs	virtual_file_system
vg	volume_group
vga	video_graphics_array
vga	video_graphics_adapter
vhf	very_high_frequency
vlan	virtual_local_area_network
vlsm	variable_length_subnet_mask
vlb	vesa_local_bus
vlf	very_low_frequency
vliw	very_long_instruction_word
vlsi	very-large-scale_integration
vm	virtual_machine
vm	virtual_memory
vnc	virtual_network_computing
vod	video_on_demand
voip	voice_over_internet_protocol
vpn	virtual_private_network
vpu	visual_processing_unit
vsam	virtual_storage_access_method
vsat	very_small_aperture_terminal
vt	video_terminal?
vtam	virtual_telecommunications_access_method
w3c	world_wide_web_consortium
wafs	wide_area_file_services
wai	web_accessibility_initiative
wais	wide_area_information_server
wan	wide_area_network
wap	wireless_access_point
wap	wireless_application_protocol
wasm	watcom_assembler
wbem	web-based_enterprise_management
wcag	web_content_accessibility_guidelines
wcf	windows_communication_foundation
wdm	wavelength-division_multiplexing
webdav	www_distributed_authoring_and_versioning
wep	wired_equivalent_privacy
wfi	wait_for_interrupt
wimax	worldwide_interoperability_for_microwave_access
winfs	windows_future_storage
wins	windows_internet_name_service
wlan	wireless_local_area_network
wma	windows_media_audio
wmv	windows_media_video
wol	wake-on-lan
wor	wake-on-ring
wora	write_once,_run_anywhere
wore	write_once,_run_everywhere
wpa	wi-fi_protected_access
wpan	wireless_personal_area_network
wpf	windows_presentation_foundation
wsdl	web_services_description_language
wsfl	web_services_flow_language
wusb	wireless_universal_serial_bus
wwan	wireless_wide_area_network
wwid	world_wide_identifier
wwn	world_wide_name
www	world_wide_web
wysiwyg	what_you_see_is_what_you_get
wzc	wireless_zero_configuration
xaml	extensible_application_markup_language
xdm	x_window_display_manager
xdmcp	x_display_manager_control_protocol
xcbl	xml_common_business_library
xhtml	extensible_hypertext_markup_language
xilp	x_interactive_listproc
xml	extensible_markup_language
xmms	x_multimedia_system
xmpp	extensible_messaging_and_presence_protocol
xms	extended_memory_specification
xns	xerox_network_systems
xp	cross-platform
xp	extreme_programming
xpcom	cross_platform_component_object_model
xpi	xpinstall
xpidl	cross-platform_idl
xps	_xml_paper_specification
xsd	xml_schema_definition
xsl	extensible_stylesheet_language
xsl-fo	extensible_stylesheet_language_formatting_objects
xslt	extensible_stylesheet_language_transformations
xss	cross-site_scripting
xtf	extensible_tag_framework
xtf	extended_triton_format
xul	xml_user_interface_language
xvga	extended_video_graphics_adapter
y2k	year_two_thousand
yaaf	yet_another_application_framework
yacc	yet_another_compiler_compiler
yaml	yaml_ain't_markup_language
yast	yet_another_setup_tool
zcav	zone_constant_angular_velocity
zcs	zero_code_suppression
zif	zero_insertion_force
zifs	zero_insertion_force_socket
zisc	zero_instruction_set_computer
zoi	zero_one_infinity
zope	z_object_publishing_environment
zma	zone_multicast_address
dbn	deep_belief_networks
dnn	deep_neural_networks
cnn	convolutional_neural_networks
rbm	restricted_boltzmann_machine
e-mail	electronic_mail
svm	support_vector_machine
cuda	compute_unified_device_architecture
sns	social_network_services
hmm	hidden_markov_models
learning_(artificial_intelligence)	machine_learning
ontologies_(artificial_intelligence)	ontologies
planning_(artificial_intelligence)	planning
generalisation_(artificial_intelligence)	generalisation
social_networking_(online)	social_networking
trees_(mathematics)	trees
support_vector_machine_(svm)	support_vector_machine
artificial_neural_network_(ann)	artificial_neural_network
biometrics_(access_control)	biometrics
particle_filtering_(numerical_methods)	particle_filtering
splines_(mathematics)	splines
artificial_intelligence_(ai)	artificial_intelligence
network_theory_(graphs)	network_theory
mobility_management_(mobile_radio)	mobility_management
operating_systems_(computers)	operating_systems
particle_swarm_optimization_(pso)	particle_swarm_optimization
reinforcement_learning_(rl)	reinforcement_learning
genetic_algorithm_(ga)	genetic_algorithm
extreme_learning_machine_(elm)	extreme_learning_machine
question_answering_(information_retrieval)	question_answering
quantisation_(signal)	quantisation
rendering_(computer_graphics)	rendering
slam_(robots)	slam
support_vector_machines_(svms)	support_vector_machines
peak-to-average_power_ratio_(papr)	peak-to-average_power_ratio
principal_component_analysis_(pca)	principal_component_analysis
android_(operating_system)	android
medium_access_control_(mac)	medium_access_control
evolution_(biological)	evolution
artificial_neural_networks_(ann)	artificial_neural_networks
neural_network_(nn)	neural_network
case-based_reasoning_(cbr)	case-based_reasoning
self-organizing_map_(som)	self-organizing_map
support_vector_machines_(svm)	support_vector_machines
load_(electric)	load
analytic_network_process_(anp)	analytic_network_process
linear_matrix_inequalities_(lmis)	linear_matrix_inequalities
hidden_markov_model_(hmm)	hidden_markov_model
artificial_neural_networks_(anns)	artificial_neural_networks
source_code_(software)	source_code
serious_games_(computing)	serious_games
drawing_(mechanical)	drawing
support_vector_regression_(svr)	support_vector_regression
multiple_kernel_learning_(mkl)	multiple_kernel_learning
mobile_ad_hoc_network_(manet)	mobile_ad_hoc_network
failure_(mechanical)	failure
series_(mathematics)	series
peer-to-peer_(p2p)	peer-to-peer
mouse_controllers_(computers)	mouse_controllers
active_learning_(al)	active_learning
multi-agent_system_(mas)	multi-agent_system
genetic_programming_(gp)	genetic_programming
passive_optical_network_(pon)	passive_optical_network
relay_networks_(telecommunication)	relay_networks
linear_discriminant_analysis_(lda)	linear_discriminant_analysis
carrier_frequency_offset_(cfo)	carrier_frequency_offset
rods_(structures)	rods
fuzzy_neural_network_(fnn)	fuzzy_neural_network
batch_processing_(industrial)	batch_processing
rings_(structures)	rings
radial_basis_function_neural_network_(rbfnn)	radial_basis_function_neural_network
virtual_private_network_(vpn)	virtual_private_network
data_envelopment_analysis_(dea)	data_envelopment_analysis
radial_basis_function_(rbf)_neural_networks	radial_basis_function
neural_networks_(nns)	neural_networks
multilayer_perceptron_(mlp)	multilayer_perceptron
interference_(signal)	interference
orthogonal_frequency_division_multiple_access_(ofdma)	orthogonal_frequency_division_multiple_access
ant_colony_optimization_(aco)	ant_colony_optimization
artificial_bee_colony_(abc)_algorithm	artificial_bee_colony
selected_mapping_(slm)	selected_mapping
quality_of_service_(qos)	quality_of_service
relevance_vector_machine_(rvm)	relevance_vector_machine
web_ontology_language_(owl)	web_ontology_language
field_programmable_gate_array_(fpga)	field_programmable_gate_array
learning_vector_quantization_(lvq)	learning_vector_quantization
computational_intelligence_(ci)	computational_intelligence
single_photon_emission_computed_tomography_(spect)	single_photon_emission_computed_tomography
fuzzy_logic_controller_(flc)	fuzzy_logic_controller
internet_of_things_(iot)	internet_of_things
cellular_neural_networks_(cnns)	cellular_neural_networks
genetic_algorithms_(gas)	genetic_algorithms
networked_control_systems_(ncs)	networked_control_systems
network-on-chip_(noc)	network-on-chip
artificial_bee_colony_(abc)	artificial_bee_colony
semisupervised_learning_(ssl)	semisupervised_learning
optical_burst_switching_(obs)	optical_burst_switching
model_driven_engineering_(mde)	model_driven_engineering
electroencephalogram_(eeg)	electroencephalogram
buildings_(structures)	buildings
electroencephalography_(eeg)	electroencephalography
markov_decision_process_(mdp)	markov_decision_process
wavelength-division_multiplexing_(wdm)	wavelength-division_multiplexing
bridges_(structures)	bridges
back_propagation_(bp)_neural_network	back_propagation
beams_(structures)	beams
pulse_coupled_neural_network_(pcnn)	pulse_coupled_neural_network
distributed_artificial_intelligence_(dai)	distributed_artificial_intelligence
service-oriented_architecture_(soa)	service-oriented_architecture
tanks_(containers)	tanks
multi-agent_systems_(mas)	multi-agent_systems
wireless_mesh_networks_(wmns)	wireless_mesh_networks
decision_support_system_(dss)	decision_support_system
radial_basis_function_(rbf)	radial_basis_function
density_functional_theory_(dft)	density_functional_theory
differential_evolution_(de)	differential_evolution
network_coding_(nc)	network_coding
functional_magnetic_resonance_imaging_(fmri)	functional_magnetic_resonance_imaging
brain-computer_interface_(bci)	brain-computer_interface
plates_(structures)	plates
content-based_image_retrieval_(cbir)	content-based_image_retrieval
interpenetrating_networks_(ipn)	interpenetrating_networks
named_entity_recognition_(ner)	named_entity_recognition
artificial_immune_system_(ais)	artificial_immune_system
natural_language_processing_(nlp)	natural_language_processing
computed_tomography_(ct)	computed_tomography
magnetic_resonance_imaging_(mri)	magnetic_resonance_imaging
ethernet_passive_optical_network_(epon)	ethernet_passive_optical_network
depth_image_based_rendering_(dibr)	depth_image_based_rendering
singular_value_decomposition_(svd)	singular_value_decomposition
expert_system_(es)	expert_system
random_forest_(rf)	random_forest
cfd_(computational_fluid_dynamics)	cfd
heterogeneous_(hybrid)_systems	heterogeneous
sparse_bayesian_learning_(sbl)	sparse_bayesian_learning
markov_random_field_(mrf)	markov_random_field
electronic_control_unit_(ecu)	electronic_control_unit
delay-tolerant_networks_(dtns)	delay-tolerant_networks
educational_data_mining_(edm)	educational_data_mining
independent_component_analysis_(ica)	independent_component_analysis
orthogonal_frequency-division_multiplexing_(ofdm)	orthogonal_frequency-division_multiplexing
radial_basis_function_(rbf)_network	radial_basis_function
spatial_data_mining_(sdm)	spatial_data_mining
power_transmission_(mechanical)	power_transmission
nonnegative_matrix_factorization_(nmf)	nonnegative_matrix_factorization
discrete_wavelet_transform_(dwt)	discrete_wavelet_transform
fuzzy_c-means_(fcm)	fuzzy_c-means
data_warehouse_(dw)	data_warehouse
multi-input_multi-output_(mimo)	multi-input_multi-output
approximate_dynamic_programming_(adp)	approximate_dynamic_programming
hidden_markov_models_(hmms)	hidden_markov_models
dissolved_gas_analysis_(dga)	dissolved_gas_analysis
gene_ontology_(go)	gene_ontology
touch_(physiological)	touch
theory_of_computation_(general)	theory_of_computation
graphic_processing_units_(gpus)	graphic_processing_units
orientation_distribution_function_(odf)	orientation_distribution_function
ai_(artificial_intelligence)	ai
relevance_feedback_(rf)	relevance_feedback
face_recognition_(fr)	face_recognition
variable_carrying_numbers_(vcn)	variable_carrying_numbers
machine_learning_(ml)	machine_learning
technology_computer-aided_design_(tcad)	technology_computer-aided_design
dynamic_voltage_scaling_(dvs)	dynamic_voltage_scaling
trajectory_optimisation_(aerospace)	trajectory_optimisation
thermal_management_(packaging)	thermal_management
intelligent_transportation_systems_(its)	intelligent_transportation_systems
markov_chain_monte_carlo_(mcmc)	markov_chain_monte_carlo
fixed_carrying_numbers_(fcn)	fixed_carrying_numbers
least_squares_support_vector_machine_(ls-svm)	least_squares_support_vector_machine
recurrent_neural_networks_(rnns)	recurrent_neural_networks
partial_transmit_sequence_(pts)	partial_transmit_sequence
impact_(mechanical)	impact
ultra-wideband_(uwb)	ultra-wideband
screens_(display)	screens
house_of_quality_(hoq)	house_of_quality
partial_transmit_sequences_(pts)	partial_transmit_sequences
duality_(mathematics)	duality
electromyography_(emg)	electromyography
recurrent_neural_network_(rnn)	recurrent_neural_network
hardware_in_the_loop_(hil)	hardware_in_the_loop
multitask_learning_(mtl)	multitask_learning
generalized_gaussian_density_(ggd)_model	generalized_gaussian_density
time_division_multiple_access_(tdma)	time_division_multiple_access
self-organizing_maps_(soms)	self-organizing_maps
blind_source_separation_(bss)	blind_source_separation
anechoic_chambers_(electromagnetic)	anechoic_chambers
discrete_cosine_transform_(dct)	discrete_cosine_transform
rare_earth_(re)_compound	rare_earth
arabic_sign_language_(arsl)	arabic_sign_language
depth_image-based_rendering_(dibr)	depth_image-based_rendering
space_vector_modulation_(svm)	space_vector_modulation
cements_(building_materials)	cements
high_performance_liquid_chromatography_(hplc)	high_performance_liquid_chromatography
multiple-instance_learning_(mil)	multiple-instance_learning
online_analytical_processing_(olap)	online_analytical_processing
application_specific_integrated_circuit_(asic)	application_specific_integrated_circuit
motion_estimation_(me)	motion_estimation
graphics_processing_units_(gpu)	graphics_processing_units
environmental_monitoring_(geophysics)	environmental_monitoring
arcs_(electric)	arcs
intake_systems_(machines)	intake_systems
routing_and_wavelength_assignment_(rwa)	routing_and_wavelength_assignment
remote_sensing_(rs)	remote_sensing
radial_basis_function_network_(rbfn)	radial_basis_function_network
optical_character_recognition_(ocr)	optical_character_recognition
wireless_mesh_network_(wmn)	wireless_mesh_network
on-line_analytical_mining_(olam)	on-line_analytical_mining
resource_description_framework_(rdf)	resource_description_framework
adaptive_neuro-fuzzy_inference_system_(anfis)	adaptive_neuro-fuzzy_inference_system
direct_numerical_simulation_(dns)	direct_numerical_simulation
time-of-flight_(tof)	time-of-flight
non-homogeneous_poisson_process_(nhpp)	non-homogeneous_poisson_process
intrusion_detection_system_(ids)	intrusion_detection_system
global_positioning_system_(gps)	global_positioning_system
cells_(electric)	cells
extended_kalman_filter_(ekf)	extended_kalman_filter
mobile_cloud_computing_(mcc)	mobile_cloud_computing
local_binary_pattern_(lbp)	local_binary_pattern
self-organizing_maps_(som)	self-organizing_maps
orthogonal_frequency-division_multiple_access_(ofdma)	orthogonal_frequency-division_multiple_access
qr_decomposition_(qrd)	qr_decomposition
vehicle_routing_problem_(vrp)	vehicle_routing_problem
computer-aided_diagnosis_(cad)	computer-aided_diagnosis
intercarrier_interference_(ici)	intercarrier_interference
amplify-and-forward_(af)	amplify-and-forward
fisher_discriminant_analysis_(fda)	fisher_discriminant_analysis
gaussian_mixture_model_(gmm)	gaussian_mixture_model
software_quality_assurance_(sqa)	software_quality_assurance
high_range_resolution_profile_(hrrp)	high_range_resolution_profile
generalized_eigenvalue_problem_(gevp)	generalized_eigenvalue_problem
cerebellar_model_articulation_controller_(cmac)	cerebellar_model_articulation_controller
software_process_improvement_(spi)	software_process_improvement
personal_software_process_(psp)	personal_software_process
functional_programming	functional_programming_languages
debug	program_debugging
neural_net	neural_networks
artificial_neural_network	neural_networks
database_management_systems	database
very_large_databases	large_database
performance	performance_evaluation
high_performance	high_performance_computing
parallel_processing	parallel_computation
high-performance_computing	high_performance_computing
machine_vision	robot_vision
face_detection	face_recognition
object_detection	object_recognition
language_processing	natural_language_processing
kernel_function	kernel_method
